id,title,description,category,timeframe,prefered_buddy_location,prefered_buddy_age_start,prefered_buddy_age_end,user_id
1,"Finally getting rid of my ex-boyfriend’s 
things","Although we have broken up over a year ago, I’m still really hung up on my ex-boyfriend. I have kept all of his things and keep looking at pictures of us together. It really keeps me from making new connections. Even my friends are starting to be really annoyed by this. I’ve decided to get rid of all his stuff and start making steps in a new life without him.",3,3,0,25,35,1
2,Quitting my dreadful job,"I have been working as a copy writer in the same agency for 7 years now and it actually gets worse every year. I'm constantly overworked and tired, don't have the energy to meet my friends anymore and I am generally getting more and more depressed. I am very much afraid of quitting this job, even though I know it's bad for me. But I know I need to do it. Now!",4,3,1,25,50,2
3,Clearing out the basement of hell,"Even though I'm usually rather a tidy person, I have the habit of putting everything that I have no use for anymore or that is broken straight into my basement. I'v actually been doing it for years. My basement is bursting at the seams, there's a weird smell coming from it and I think it's time to stop ignoring it and get going...",5,1,0,25,75,3
4,Stop ignoring my feet,"I know it sounds funny but I just can't stand the pain… anymore. My feet have been hurting for many months now, when I'm walking, sometimes even when I'm lying in bed or on the couch. I know I should go see a doctor for this, but I'm afraid of what they gonna find and also, my feet are incredibly ugly and no one should ever see them!",1,2,1,40,70,4
5,Filing my tax returns… for 2017,"Yes, it is true. I have had to pay several fines now, but I still haven't managed to file my tax returns from 2017. Or 2018. Or 2019… you get the idea. I don't know what it is, but everytime I sit down to do the taxes, Netflix magically starts and a nice snack appears next to the couch so I have no will power to withstand these temptations and another day goes by where I haven't filed my tax returns, yet again. ",2,0,0,30,100,5
6,Deleting Instagram,"I told my phone to track the hours I spend on specific apps and it told me I usually spend 4 hours a day on Instagram. Whoa! Would I be an influencer that would be some nice working hours, but I am no such thing. I am just a person who always feels like she never has time for anything... So I really need to delete the app and get over my Insta addiction.",1,2,1,18,45,6
7,Build my bike,I bought all the parts. I read up how to assemble everything. And then years went by. Now I’m about to tidy up my life and all the bike parts seem to drag me down. Please help! And then join me on a bike trip.,1,4,0,25,45,7
8,Filling the gap quitting smoking left,"Hi, I know there are plenty of platforms helping you to quit smoking. My problem is: I quit smoking and I live a healthier life. But now I’m unhappy and bored. Can you help me find out what to do with the time I used to hang out in bars smoking and drinking?",1,2,1,18,100,8
9,Getting rid of silver fish,"They are silvery, they are small and they are ugly. Also they seem to be everywhere and nowhere. And they make me miserable. I would rather have cockroaches in my flat. But I can never find the time to taking the steps to get rid of them for good. Please help!",5,1,1,25,85,9
10,Taxes for 2021,I have heard of people doing their taxes all by themselves. Maybe you are one of them and can help me to do them? I don’t have much time left and everytime I look at the forms I end up drunk and sad…,2,2,1,30,99,10
